ID;f1_keyword;f2_language;f3_searchloc;f4_destination;ranking;lon;lat
1Xa;Accommodation;English;Anderlecht;in Brussels;1;50,83346;4,35549
1Xa;Accommodation;English;Anderlecht;in Brussels;2;50,8374;4,35746
1Xa;Accommodation;English;Anderlecht;in Brussels;3;50,85072;4,35005
1Xa;Accommodation;English;Anderlecht;in Brussels;4;50,83188;4,35315
1Xa;Accommodation;English;Anderlecht;in Brussels;5;50,84869;4,36313
1Xa;Accommodation;English;Anderlecht;in Brussels;6;50,85035;4,35555
1Xa;Accommodation;English;Anderlecht;in Brussels;7;50,8515;4,35351
1Xa;Accommodation;English;Anderlecht;in Brussels;8;50,8228;4,36783
1Xa;Accommodation;English;Anderlecht;in Brussels;9;50,85525;4,36647
1Xa;Accommodation;English;Anderlecht;in Brussels;10;50,856;4,3574
1Xa;Accommodation;English;Anderlecht;in Brussels;11;50,85249;4,35493
1Xa;Accommodation;English;Anderlecht;in Brussels;12;50,84619;4,35134
1Xa;Accommodation;English;Anderlecht;in Brussels;13;50,85629;4,35153
1Xa;Accommodation;English;Anderlecht;in Brussels;14;50,84685;4,3594
1Xa;Accommodation;English;Anderlecht;in Brussels;15;50,84423;4,34741
1Xa;Accommodation;English;Anderlecht;in Brussels;16;50,8539;4,35581
1Xa;Accommodation;English;Anderlecht;in Brussels;17;50,84832;4,35657
1Xa;Accommodation;English;Anderlecht;in Brussels;18;50,84701;4,35515
1Xa;Accommodation;English;Anderlecht;in Brussels;19;50,84951;4,34606
1Xa;Accommodation;English;Anderlecht;in Brussels;20;50,84557;4,35469
1Ya;Accommodation;Dutch;Anderlecht;in Brussels;1;50,85219;4,35414
1Ya;Accommodation;Dutch;Anderlecht;in Brussels;2;50,84846;4,35738
1Ya;Accommodation;Dutch;Anderlecht;in Brussels;3;50,85053;4,34933
1Ya;Accommodation;Dutch;Anderlecht;in Brussels;4;50,84926;4,35476
1Ya;Accommodation;Dutch;Anderlecht;in Brussels;5;50,85035;4,35555
1Ya;Accommodation;Dutch;Anderlecht;in Brussels;6;50,8515;4,35351
